Name,U,d,h,j,Isp,nu_t,T,m_a
SPT-20 [21],52.4,180,15.0,5.0,32.0,0.47,3.9,839
SPT-25 [22],134,180,20.0,5.0,10,0.59,5.5,948
HET-100 [23],174,300,23.5,5.5,14.5,0.50,6.8,1386
KHT-40 [24],187,325,31.0,9.0,25.5,0.69,10.3,1519
KHT-50 [24],193,250,42.0,8.0,25.0,0.88,11.6,1339
HEPS-200,195,250,42.5,8.5,25.0,0.88,11.2,1300
BHT-200 [2526],200,250,21.0,5.6,11.2,0.94,12.8,1390
KM-32 [27],215,250,32.0,7.0,16.0,1.00,12.2,1244
SPT-50M [28],245,200,39.0,11.0,25.0,1.50,16.0,1088
SPT-30 [23],258,250,24.0,6.0,11.0,0.98,13.2,1234
KM-37 [29],283,292,37.0,9.0,17.5,1.15,18.5,1640
CAM200 [3031],304,275,43.0,12.0,24,1.09,17.3,1587
SPT-50 [21],317,300,39.0,11.0,25.0,1.18,17.5,1746
A-3 [21],324,300,47.0,13.0,30.0,1.18,18.0,1821
HEPS-500,482,300,49.5,15.5,25.0,1.67,25.9,1587
BHT-600 [2632],615,300,56.0,16.0,32,2.60,39.1,1530
SPT-70 [33],660,300,56.0,14.0,25.0,2.56,40.0,1593
SPT-100 [934],1350,300,85.0,15.0,25.0,5.14,81.6,1540
UAH-78AM,520,260,78.0,20,40,2,30,1450
MaSMi40,330,300,40,6.28,12.56,1.5,13,1100
MaSMi60,700,250,60,9.42,19,2.56,30,1300
MaSMiDm,1000,500,67,10.5,21,3,53,1940
Music-si,140,288,18,2,6.5,0.44,4.2,850
